t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
19.99,0,0,shard-0-0,1,0.994000,1.000000,1.000000,2629,2358,1.0,1.0,4584,0.396,0.116
19.99,0,1,shard-0-1,1,0.994000,1.000000,1.000000,2629,2358,1.0,1.0,4584,0.396,0.303
19.99,0,2,shard-0-2,1,0.994000,1.000000,1.000000,2629,2358,1.0,1.0,4584,0.396,0.466
19.99,1,0,shard-1-0,1,0.992000,1.000000,1.000000,2472,2226,0.998667,0.999,4584,0.396,0.62
19.99,1,1,shard-1-1,1,0.992000,1.000000,1.000000,2472,2226,0.998667,0.999,4584,0.396,0.766
19.99,1,2,shard-1-2,1,0.994000,1.000000,1.000000,2472,2226,0.998667,0.998,4584,0.396,0.922
26.312,0,0,shard-0-0,1,0.992000,1.000000,1.000000,3337,3131,0.998667,0.999,5952,0.392,0.166
26.312,0,1,shard-0-1,1,0.990000,1.000000,1.000000,3337,3131,0.998667,0.998,5952,0.392,0.274
26.312,0,2,shard-0-2,1,0.992000,1.000000,1.000000,3337,3131,0.998667,0.999,5952,0.392,0.394
26.312,1,0,shard-1-0,1,0.994000,1.000000,1.000000,3020,2821,0.968,0.952,5952,0.392,0.518
26.312,1,1,shard-1-1,1,0.947000,1.000000,1.000000,3135,2821,0.968,0.976,5952,0.392,0.626
26.312,1,2,shard-1-2,1,0.947000,1.000000,1.000000,3135,2821,0.968,0.976,5952,0.392,0.731
32.438,0,0,shard-0-0,1,0.992000,0.999000,1.000000,4026,3787,1.0,1.0,7212,0.42,0.148
32.438,0,1,shard-0-1,1,0.992000,1.000000,1.000000,4026,3787,1.0,1.0,7212,0.42,0.282
32.438,0,2,shard-0-2,1,0.992000,0.999000,1.000000,4026,3787,1.0,1.0,7212,0.42,0.433
32.438,1,0,shard-1-0,1,0.995000,1.000000,1.000000,3630,3425,0.97,0.9555,7212,0.42,0.571
32.438,1,1,shard-1-1,1,0.951000,1.000000,1.000000,3745,3425,0.97,0.9775,7212,0.42,0.701
32.438,1,2,shard-1-2,1,0.950000,1.000000,1.000000,3748,3425,0.97,0.977,7212,0.42,0.842
38.702,0,0,shard-0-0,1,0.997000,1.000000,1.000000,4775,4501,1.0,,8548,0.455,0.196
38.702,0,1,shard-0-1,0,,,,,4501,1.0,,8548,,
38.702,0,2,shard-0-2,1,0.997000,1.000000,1.000000,4775,4501,1.0,,8548,0.455,0.377
38.702,1,0,shard-1-0,1,0.997000,1.000000,1.000000,4272,4047,0.972667,0.959,8548,0.455,0.527
38.702,1,1,shard-1-1,1,0.956000,1.000000,1.000000,4387,4047,0.972667,0.9795,8548,0.455,0.685
38.702,1,2,shard-1-2,1,0.956000,1.000000,1.000000,4387,4047,0.972667,0.9795,8548,0.455,0.836
44.996,0,0,shard-0-0,1,0.995000,1.000000,1.000000,5599,5330,0.932667,0.9495,10120,1.258,0.464
44.996,0,1,shard-0-1,1,0.995000,0.892000,0.871482,4914,5330,0.932667,0.899,10120,1.258,0.854
44.996,0,2,shard-0-2,1,0.995000,1.000000,1.000000,5599,5330,0.932667,0.9495,10120,1.258,1.184
44.996,1,0,shard-1-0,1,0.996000,1.000000,1.000000,5066,4790,0.968,,10120,1.258,1.699
44.996,1,1,shard-1-1,1,0.966000,1.000000,1.000000,5181,4790,0.968,,10120,1.258,2.2
44.996,1,2,shard-1-2,0,,,,,4790,0.968,,10120,,
53.473,0,0,shard-0-0,1,0.997000,1.000000,1.000000,6434,6176,1.0,,11795,0.344,0.266
53.473,0,1,shard-0-1,0,,,,,6176,1.0,,11795,,
53.473,0,2,shard-0-2,1,0.997000,1.000000,1.000000,6434,6176,1.0,,11795,0.344,0.6
53.473,1,0,shard-1-0,1,0.997000,0.998000,1.000000,5859,5619,0.940333,0.9435,11795,0.344,1.034
53.473,1,1,shard-1-1,1,0.970000,0.998000,1.000000,5974,5619,0.940333,0.9535,11795,0.344,1.641
53.473,1,2,shard-1-2,1,0.968000,0.929000,0.924542,5551,5619,0.940333,0.924,11795,0.344,2.338
61.178,0,0,shard-0-0,1,0.999000,1.000000,1.000000,7287,7011,1.0,,13409,0.348,0.309
61.178,0,1,shard-0-1,0,,,,,7011,1.0,,13409,,
61.178,0,2,shard-0-2,1,0.999000,1.000000,1.000000,7287,7011,1.0,,13409,0.348,0.594
61.178,1,0,shard-1-0,1,0.998000,1.000000,1.000000,6665,6398,0.945333,0.948,13409,0.348,0.85
61.178,1,1,shard-1-1,1,0.974000,1.000000,1.000000,6780,6398,0.945333,0.958,13409,0.348,1.108
61.178,1,2,shard-1-2,1,0.968000,0.938000,0.933729,6356,6398,0.945333,0.93,13409,0.348,1.364
