t_rel,shard,replica,name,reachable,index_recall,e2e_recall,completeness,n_local,n_intended,shard_agreement,loo_agreement,n_confirmed_settled,probe_s,score_s
19.987,0,0,shard-0-0,1,0.991000,1.000000,1.000000,3066,2766,1.0,1.0,5370,0.263,0.119
19.987,0,1,shard-0-1,1,0.991000,1.000000,1.000000,3066,2766,1.0,1.0,5370,0.263,0.288
19.987,0,2,shard-0-2,1,0.991000,1.000000,1.000000,3066,2766,1.0,1.0,5370,0.263,0.464
19.987,1,0,shard-1-0,1,0.993000,1.000000,1.000000,2869,2604,0.998,0.9985,5370,0.263,0.545
19.987,1,1,shard-1-1,1,0.993000,1.000000,1.000000,2870,2604,0.998,0.9985,5370,0.263,0.629
19.987,1,2,shard-1-2,1,0.990000,1.000000,1.000000,2870,2604,0.998,0.997,5370,0.263,0.708
25.966,0,0,shard-0-0,1,0.997000,0.999000,1.000000,3929,3602,1.0,1.0,6984,0.28,0.103
25.966,0,1,shard-0-1,1,0.997000,0.999000,1.000000,3929,3602,1.0,1.0,6984,0.28,0.197
25.966,0,2,shard-0-2,1,0.997000,0.999000,1.000000,3929,3602,1.0,1.0,6984,0.28,0.292
25.966,1,0,shard-1-0,1,0.995000,1.000000,1.000000,3644,3382,1.0,1.0,6984,0.28,0.384
25.966,1,1,shard-1-1,1,0.995000,1.000000,1.000000,3644,3382,1.0,1.0,6984,0.28,0.473
25.966,1,2,shard-1-2,1,0.995000,1.000000,1.000000,3644,3382,1.0,1.0,6984,0.28,0.558
31.806,0,0,shard-0-0,1,0.993000,1.000000,1.000000,4764,4472,1.0,1.0,8606,0.361,0.137
31.806,0,1,shard-0-1,1,0.993000,1.000000,1.000000,4764,4472,1.0,1.0,8606,0.361,0.394
31.806,0,2,shard-0-2,1,0.993000,1.000000,1.000000,4764,4472,1.0,1.0,8606,0.361,0.543
31.806,1,0,shard-1-0,1,0.996000,1.000000,1.000000,4385,4134,0.999333,0.9995,8606,0.361,0.667
31.806,1,1,shard-1-1,1,0.996000,1.000000,1.000000,4386,4134,0.999333,0.9995,8606,0.361,0.798
31.806,1,2,shard-1-2,1,0.995000,1.000000,1.000000,4386,4134,0.999333,0.999,8606,0.361,0.908
38.079,0,0,shard-0-0,1,0.997000,1.000000,1.000000,5438,5219,1.0,1.0,9997,0.512,0.364
38.079,0,1,shard-0-1,1,0.997000,1.000000,1.000000,5440,5219,1.0,1.0,9997,0.512,0.548
38.079,0,2,shard-0-2,1,0.997000,1.000000,1.000000,5440,5219,1.0,1.0,9997,0.512,0.815
38.079,1,0,shard-1-0,1,0.998000,1.000000,1.000000,4987,4778,0.999333,0.9995,9997,0.512,1.138
38.079,1,1,shard-1-1,1,0.998000,1.000000,1.000000,4987,4778,0.999333,0.9995,9997,0.512,1.375
38.079,1,2,shard-1-2,1,0.997000,1.000000,1.000000,4987,4778,0.999333,0.999,9997,0.512,1.552
45.152,0,0,shard-0-0,1,0.996000,0.999000,1.000000,6276,6002,1.0,1.0,11555,0.328,0.194
45.152,0,1,shard-0-1,1,0.996000,0.999000,1.000000,6276,6002,1.0,1.0,11555,0.328,0.37
45.152,0,2,shard-0-2,1,0.996000,0.999000,1.000000,6276,6002,1.0,1.0,11555,0.328,0.559
45.152,1,0,shard-1-0,1,0.997000,1.000000,1.000000,5809,5553,1.0,1.0,11555,0.328,0.723
45.152,1,1,shard-1-1,1,0.997000,1.000000,1.000000,5809,5553,1.0,1.0,11555,0.328,0.884
45.152,1,2,shard-1-2,1,0.997000,1.000000,1.000000,5809,5553,1.0,1.0,11555,0.328,1.048
51.516,0,0,shard-0-0,1,0.996000,0.999000,1.000000,7127,6871,1.0,1.0,13221,0.538,0.264
51.516,0,1,shard-0-1,1,0.996000,0.999000,1.000000,7127,6871,1.0,1.0,13221,0.538,0.502
51.516,0,2,shard-0-2,1,0.996000,0.999000,1.000000,7128,6871,1.0,1.0,13221,0.538,0.717
51.516,1,0,shard-1-0,1,1.000000,1.000000,1.000000,6600,6350,1.0,1.0,13221,0.538,0.91
51.516,1,1,shard-1-1,1,1.000000,1.000000,1.000000,6600,6350,1.0,1.0,13221,0.538,1.107
51.516,1,2,shard-1-2,1,1.000000,1.000000,1.000000,6600,6350,1.0,1.0,13221,0.538,1.317
58.38,0,0,shard-0-0,1,0.998000,1.000000,1.000000,7969,7743,1.0,1.0,14931,0.487,0.384
58.38,0,1,shard-0-1,1,0.998000,1.000000,1.000000,7969,7743,1.0,1.0,14931,0.487,0.98
58.38,0,2,shard-0-2,1,0.998000,1.000000,1.000000,7969,7743,1.0,1.0,14931,0.487,1.61
58.38,1,0,shard-1-0,1,0.997000,1.000000,1.000000,7450,7188,0.999333,0.9995,14931,0.487,2.192
58.38,1,1,shard-1-1,1,0.998000,1.000000,1.000000,7451,7188,0.999333,0.999,14931,0.487,2.438
58.38,1,2,shard-1-2,1,0.997000,1.000000,1.000000,7451,7188,0.999333,0.9995,14931,0.487,2.653
66.528,0,0,shard-0-0,1,1.000000,1.000000,1.000000,8807,8552,1.0,1.0,16637,0.381,0.322
66.528,0,1,shard-0-1,1,1.000000,1.000000,1.000000,8807,8552,1.0,1.0,16637,0.381,0.635
66.528,0,2,shard-0-2,1,1.000000,1.000000,1.000000,8807,8552,1.0,1.0,16637,0.381,0.905
66.528,1,0,shard-1-0,1,0.998000,0.999000,1.000000,8348,8085,1.0,1.0,16637,0.381,1.207
66.528,1,1,shard-1-1,1,0.998000,0.999000,1.000000,8348,8085,1.0,1.0,16637,0.381,1.497
66.528,1,2,shard-1-2,1,0.998000,0.999000,1.000000,8349,8085,1.0,1.0,16637,0.381,1.742
73.656,0,0,shard-0-0,1,0.998000,1.000000,1.000000,9605,9388,1.0,1.0,18318,0.397,0.307
73.656,0,1,shard-0-1,1,0.998000,1.000000,1.000000,9605,9388,1.0,1.0,18318,0.397,0.675
73.656,0,2,shard-0-2,1,0.998000,1.000000,1.000000,9606,9388,1.0,1.0,18318,0.397,0.985
73.656,1,0,shard-1-0,1,0.999000,0.999000,1.000000,9151,8930,0.999333,0.9995,18318,0.397,1.305
73.656,1,1,shard-1-1,1,0.999000,0.999000,1.000000,9152,8930,0.999333,0.9995,18318,0.397,1.596
73.656,1,2,shard-1-2,1,0.998000,0.999000,1.000000,9152,8930,0.999333,0.999,18318,0.397,1.868
80.92,0,0,shard-0-0,1,0.997000,0.999000,1.000000,10312,10233,1.0,1.0,19972,3.096,1.648
80.92,0,1,shard-0-1,1,0.997000,0.999000,1.000000,10312,10233,1.0,1.0,19972,3.096,2.502
80.92,0,2,shard-0-2,1,0.997000,0.999000,1.000000,10312,10233,1.0,1.0,19972,3.096,3.066
80.92,1,0,shard-1-0,1,0.997000,1.000000,1.000000,9850,9739,1.0,1.0,19972,3.096,3.615
80.92,1,1,shard-1-1,1,0.997000,1.000000,1.000000,9851,9739,1.0,1.0,19972,3.096,4.247
80.92,1,2,shard-1-2,1,0.997000,1.000000,1.000000,9852,9739,1.0,1.0,19972,3.096,4.866
93.946,0,0,shard-0-0,1,0.997000,0.999000,1.000000,10916,10817,1.0,1.0,21139,1.241,0.756
93.946,0,1,shard-0-1,1,0.997000,0.999000,1.000000,10917,10817,1.0,1.0,21139,1.241,1.44
93.946,0,2,shard-0-2,1,0.997000,0.999000,1.000000,10918,10817,1.0,1.0,21139,1.241,1.908
93.946,1,0,shard-1-0,1,0.998000,1.000000,1.000000,10425,10322,1.0,1.0,21139,1.241,2.296
93.946,1,1,shard-1-1,1,0.998000,1.000000,1.000000,10426,10322,1.0,1.0,21139,1.241,2.657
93.946,1,2,shard-1-2,1,0.998000,1.000000,1.000000,10426,10322,1.0,1.0,21139,1.241,3.008
103.212,0,0,shard-0-0,1,0.998000,0.999000,1.000000,11786,11590,1.0,1.0,22702,0.447,0.418
103.212,0,1,shard-0-1,1,0.998000,0.999000,1.000000,11786,11590,1.0,1.0,22702,0.447,0.787
103.212,0,2,shard-0-2,1,0.998000,0.999000,1.000000,11786,11590,1.0,1.0,22702,0.447,1.257
103.212,1,0,shard-1-0,1,0.997000,0.999000,1.000000,11301,11112,1.0,1.0,22702,0.447,1.676
103.212,1,1,shard-1-1,1,0.997000,0.999000,1.000000,11300,11112,1.0,1.0,22702,0.447,2.092
103.212,1,2,shard-1-2,1,0.997000,0.999000,1.000000,11300,11112,1.0,1.0,22702,0.447,2.629
111.282,0,0,shard-0-0,1,0.999000,1.000000,1.000000,12724,12516,1.0,1.0,24491,0.447,0.563
111.282,0,1,shard-0-1,1,0.999000,1.000000,1.000000,12724,12516,1.0,1.0,24491,0.447,1.056
111.282,0,2,shard-0-2,1,0.999000,1.000000,1.000000,12724,12516,1.0,1.0,24491,0.447,1.521
111.282,1,0,shard-1-0,1,0.998000,1.000000,1.000000,12190,11975,1.0,1.0,24491,0.447,1.93
111.282,1,1,shard-1-1,1,0.998000,1.000000,1.000000,12190,11975,1.0,1.0,24491,0.447,2.372
111.282,1,2,shard-1-2,1,0.998000,1.000000,1.000000,12191,11975,1.0,1.0,24491,0.447,3.042
119.8,0,0,shard-0-0,1,0.997000,0.999000,1.000000,13653,13421,1.0,1.0,26317,0.949,0.486
119.8,0,1,shard-0-1,1,0.997000,0.999000,1.000000,13653,13421,1.0,1.0,26317,0.949,0.998
119.8,0,2,shard-0-2,1,0.997000,0.999000,1.000000,13653,13421,1.0,1.0,26317,0.949,1.612
119.8,1,0,shard-1-0,1,0.999000,1.000000,1.000000,13127,12896,0.999333,0.9995,26317,0.949,2.233
119.8,1,1,shard-1-1,1,0.998000,1.000000,1.000000,13127,12896,0.999333,0.999,26317,0.949,2.847
119.8,1,2,shard-1-2,1,0.999000,1.000000,1.000000,13127,12896,0.999333,0.9995,26317,0.949,3.643
129.412,0,0,shard-0-0,1,0.996000,0.997000,1.000000,14619,14356,1.0,1.0,28179,0.858,0.676
129.412,0,1,shard-0-1,1,0.996000,0.997000,1.000000,14619,14356,1.0,1.0,28179,0.858,1.158
129.412,0,2,shard-0-2,1,0.996000,0.997000,1.000000,14619,14356,1.0,1.0,28179,0.858,1.709
129.412,1,0,shard-1-0,1,0.999000,1.000000,1.000000,14052,13823,1.0,1.0,28179,0.858,2.296
129.412,1,1,shard-1-1,1,0.999000,1.000000,1.000000,14052,13823,1.0,1.0,28179,0.858,2.777
129.412,1,2,shard-1-2,1,0.999000,1.000000,1.000000,14052,13823,1.0,1.0,28179,0.858,3.275
138.56,0,0,shard-0-0,1,0.998000,0.998000,1.000000,15621,15365,1.0,1.0,30132,0.382,0.901
138.56,0,1,shard-0-1,1,0.998000,0.998000,1.000000,15621,15365,1.0,1.0,30132,0.382,1.533
138.56,0,2,shard-0-2,1,0.998000,0.998000,1.000000,15621,15365,1.0,1.0,30132,0.382,3.019
